Step	Plants(by 10s)	Herbivores	Carnivores
100	72	44	3
150	70	41	3
200	68	38	3
250	66	35	3
300	64	32	3
350	63	26	3
400	62	23	3
450	60	26	3
500	59	35	4
550	58	33	4
600	57	28	4
650	56	23	4
700	55	33	4
750	82	31	4
800	93	36	5
850	100	38	5
900	97	34	5
950	94	33	6
1000	90	46	6
1050	88	61	6
1100	84	68	7
1150	81	64	7
1200	79	52	7
1250	76	45	7
1300	72	43	8
1350	69	36	10
1400	67	33	9
1450	85	36	10
1500	88	49	9
1550	96	48	10
1600	99	53	10
1650	99	54	8
1700	95	52	8
1750	91	44	10
1800	88	51	8
1850	83	69	10
1900	78	69	9
1950	74	58	9
2000	70	51	8
2050	67	49	8
2100	65	57	8
2150	75	55	9
2200	74	67	9
2250	78	59	9
2300	87	48	11
2350	94	37	12
2400	97	44	13
2450	96	52	13
2500	90	57	12
2550	86	53	12
2600	83	57	13
2650	78	58	13
2700	76	48	12
2750	72	43	10
2800	70	44	9
2850	78	45	8
2900	76	52	7
2950	77	44	8
3000	80	48	8
3050	86	61	7
3100	97	61	7
3150	102	55	7
3200	104	47	6
3250	102	48	9
3300	100	45	7
3350	96	57	7
3400	89	68	7
3450	85	66	8
3500	80	60	7
3550	88	63	7
3600	84	57	6
3650	81	76	6
3700	78	77	6
3750	79	79	6
3800	83	74	7
3850	86	69	5
3900	92	78	6
3950	93	86	5
4000	86	107	5
4050	80	111	4
4100	74	104	5
4150	69	106	5
4200	63	114	6
4250	62	116	6
4300	57	127	6
4350	52	115	6
4400	49	107	6
4450	44	107	6
4500	41	102	6
4550	41	99	7
4600	41	108	8
4650	41	94	8
4700	44	92	8
4750	42	90	7
4800	41	80	7
4850	39	72	7
4900	37	71	6
4950	38	64	8
5000	36	53	5
